sid,e1,e2,e3,e4,e5,e6,s1_DFT,s2_DFT,s3_DFT,s4_DFT,s5_DFT,s6_DFT,s1_SA,s2_SA,s3_SA,s4_SA,s5_SA,s6_SA,s1_MB,s2_MB,s3_MB,s4_MB,s5_MB,s6_MB
AlN_wz_strain_a_m0p0050,3.1564858827826114e-06,0.005037751487639741,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,0.0025251887317253594,0.8444643039999999,2.597903538,2.56609828,-1.5199999999999998e-07,4.9e-08,8.239999999999996e-07,1.213504244567659,2.775213786492033,3.288193066347867,1.776720713427899e-07,3.126013911690799e-14,7.520682017835393e-08,1.3600636153767227,3.273675562574086,3.050405081009814,1.7999624920944573e-07,4.6161033994126185e-14,1.3765552057968609e-07
AlN_wz_strain_a_p0p0050,0.01010391168724134,0.005037751468908613,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-0.0025251904422923027,5.248834188000001,3.557746317,3.1804813710000004,2.32e-07,-4.25e-07,1.8780000000000005e-06,5.321442266846508,3.783359129496036,4.636431327789947,2.2755749102939198e-07,8.509121318109402e-15,-7.362212956184809e-07,6.079921637795327,4.257690833741058,4.61132963052944,2.2343781851714482e-07,1.2567754705304188e-14,-6.206898081427044e-07
AlN_wz_strain_a_m0p0075,-0.002502301877251756,0.005037751492322551,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,0.003787781911322897,-0.30618002400000005,2.34736951,2.4088889890000003,2.5900000000000003e-07,-4.699999999999999e-08,1.466e-06,0.16102364361440322,2.5120579670396013,2.9498353733879386,1.6511121248661358e-07,2.1710546741451503e-14,1.3787558977811017e-08,0.1051383441841845,3.0089438089540597,2.6419171205656777,1.690961627758391e-07,3.3032297494423314e-14,5.3066778130765896e-08
AlN_wz_strain_a_p0p0075,0.012648829334943823,0.005037751464226026,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-0.003787783621597099,6.301060368000001,3.787535612,3.330180346,2.7700000000000006e-07,-2.15e-07,1.6879999999999998e-06,6.3230705377686,4.025200815880381,4.971786568985777,2.399355475263193e-07,2.5656282343932893e-14,3.661954802534165e-07,7.184263300993864,4.485748670773819,4.982581779135135,2.3421860613004234e-07,3.0568141335201384e-14,5.438865261754029e-07
AlN_wz_strain_b_m0p0075,0.005044855364860101,-0.002509406295589489,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-0.003759375573637557,2.345196443,-0.3041559389999997,2.408679121,1.1199999999999996e-07,-9.000000000000003e-09,2.799999999999998e-07,2.5169576387846018,0.15590253559878164,2.9498575416594472,2.476427993693029e-07,1.3384147299357509e-14,1.3774914931091944e-07,3.022829608106244,0.09192145703031003,2.641853638291397,2.2594641970665874e-07,6.893727176337428e-15,1.9886960910412072e-07
AlN_wz_strain_b_p0p0075,0.005044855358304123,0.012641725997293407,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,0.003816190608356788,3.785469338,6.303322137,3.3302713390000003,2.8800000000000004e-07,-2.7100000000000003e-07,1.797e-06,4.029497316518139,6.319023984415702,4.971784756348252,1.5817109365073845e-07,4.060755294725239e-14,2.499539742777658e-07,4.500196523781718,7.169506324344452,4.9826803054971744,1.7944629692879555e-07,5.631755180526438e-14,4.0560005327033217e-07
AlN_wz_strain_biax_ab_m0p0025,0.00251572014610546,0.0025157192533067363,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-2.0366492711407894e-09,1.7268997990000001,1.7269012580000003,2.5660205850000004,1.61e-07,8.6e-08,1.7939999999999997e-06,1.9965326876775067,1.99653223931027,3.2871905975808797,2.0520265301228936e-07,1.570102771632817e-14,-1.0228214688902947e-06,2.3280541271752053,2.3280536989022647,3.0555316570040882,1.9877682727621659e-07,1.3753519371069402e-15,-1.021789015731675e-06
AlN_wz_strain_biax_ab_p0p0025,0.007566099366722923,0.007566096674902156,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-2.9043968592759834e-09,4.4089978,4.4089991049999995,3.1806002970000002,2.3699999999999994e-07,1.5100000000000002e-07,1.1749999999999995e-06,4.554543689703267,4.554543219705984,4.635551398255198,1.837812878258267e-08,-4.020252025009504e-14,-7.948994024190296e-07,5.180150059650752,5.1801495350718065,4.616711907332594,5.034670124817365e-08,-4.4834872669393636e-14,-6.89262081149595e-07
AlN_wz_strain_biax_ab_m0p0050,2.220446049250313e-16,0.0,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-1.3259148171263128e-16,0.3313568100000001,0.331361125,2.2502164340000004,2.9599999999999995e-07,8.9e-08,8.219999999999998e-07,0.6799392391251967,0.6799392875674852,2.6068718456900157,1.4247874903607008e-09,-7.960676435150383e-15,3.5006745656531543e-08,0.8226919439034774,0.8226920133590279,2.2463234242403978,1.3063288942821311e-08,-4.250596701338792e-15,6.492682729000144e-08
AlN_wz_strain_biax_ab_p0p0050,0.010100755196988165,0.010100754843190618,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-1.7193549540510569e-09,5.696873556,5.696874908,3.4794971210000005,-3.0200000000000003e-07,1.34e-07,1.0059999999999998e-06,5.797483385249996,5.797483419693689,5.303025416337546,1.9802858162912202e-07,6.470889221910895e-15,-6.865531620887332e-07,6.5280327943566885,6.528032970895968,5.367905320666032,2.0838853680677057e-07,4.205876480609241e-15,-5.306169145290286e-07
AlN_wz_strain_biax_ab_m0p0100,-0.005012498167977886,-0.005012499591632247,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-2.3489791605949785e-09,-2.571434335,-2.571433803,1.6026285160000002,1.1000000000000046e-08,-1.44e-07,1.4249999999999997e-06,-2.0326064921066473,-2.03260746458568,1.2350753380481136,2.1337685705371526e-07,4.609087799345801e-16,-1.392600893669831e-06,-2.3477907376332405,-2.347791849214398,0.5729892804048616,1.9136546851224047e-07,-4.9419312842225626e-15,-1.5536626653392513e-06
AlN_wz_strain_biax_ab_p0p0100,0.0151890122582794,0.015189010094748823,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-2.591863364519972e-09,8.170662921,8.170665336,4.062335282,1.5000000000000002e-07,-2.01e-07,1.3329999999999996e-06,8.214618250510712,8.214618230840786,6.62287430814347,3.353224338574836e-08,-4.430386805933899e-14,-4.810130713416385e-07,9.07195390504427,9.071953969073338,6.809942794755661,8.571015727853385e-08,-4.118510012875122e-14,-2.3003595197497846e-07
