dataset,npoints,V0_per_atom_A3,B0_GPa,B0_prime,RMSE_eV_per_atom
DFT,6,10.63682312686036,192.86129625794254,3.9500943197156198,0.00014413816134372908
Single_ACE,6,10.691419502552398,209.4631828859072,4.327966451912372,0.0010345049564487333
Model_B,6,10.725396780432693,201.78204143598666,5.327802748406651,0.002844746443735825
