method,gauge_violation_before,gauge_violation_after,energy_rmse_eV_per_atom,force_rmse_eV_per_A,stress_rmse_GPa,prediction_preserved
soft_constraint,8.77,0.003,0.0432,0.1312,0.0927,false
post_hoc_projection,8.77,4.6e-16,0.0112,0.0380,0.0193,true
