batch,frames,Single_ACE_E_RMSE_meV,Model_B_E_RMSE_meV,E_diff_meV,Single_ACE_F_RMSE,Model_B_F_RMSE,F_diff
06_surface_static_relax,47,382.17450972884745,409.22942817019555,27.054918441348054,0.4906146377329229,0.49624762945762985,0.005632991724706937
07_defect_static_relax,108,140.29474153859644,135.77109237793533,-4.5236491606611136,0.7064810063854764,0.7231079755451423,0.016626969159665883
__ALL__,155,188.72912755128138,192.94389722235223,4.214769671070845,0.6486586283819664,0.6625751129273852,0.013916484545418828
