batch,frames,Single_ACE_E_RMSE_meV,Model_B_E_RMSE_meV,E_diff_meV,Single_ACE_F_RMSE,Model_B_F_RMSE,F_diff,Single_ACE_S_RMSE,Model_B_S_RMSE,S_diff
01_eos_hydrostatic_static,6,56.00907645937297,100.56536899797952,44.556292538606556,0.015212890605900541,0.02983116001796889,0.014618269412068348,0.059783247109090006,0.06694283197237656,0.007159584863286557
02_elastic_strain_static,26,9.44193250094461,4.140905693565109,-5.301026807379501,0.011128892777572688,0.008603171971520718,-0.0025257208060519704,0.009614959416149507,0.009141487281726337,-0.0004734721344231696
03_strain_displacement_cross_static,16,10.327434831728503,5.219064135756564,-5.1083706959719395,0.02901044728129127,0.02854200187355952,-0.00046844540773174903,0.00958306359172623,0.010354803787005519,0.0007717401952792892
04_phonon_displacement_static,24,9.367138897314947,4.142732342636223,-5.224406554678724,0.007931040557347092,0.0057965555302978465,-0.002134485027049246,0.009318281619207539,0.008574786329495957,-0.0007434952897115814
05_thermal_snapshot_static,21,10.445673497579934,6.554170659050895,-3.8915028385290396,0.07688668731345258,0.0743839260099257,-0.0025027613035268764,0.010112225601782893,0.01321729823533208,0.0031050726335491875
08_stress10_mlmd_snapshot_static,10,7.55891703312454,1.7559834880061775,-5.8029335451183615,0.03616032532345606,0.033994159586700344,-0.0021661657367557166,0.013021168189623773,0.014089373096925885,0.0010682049073021116
__ALL__,103,11.14603671461175,11.20798512216414,0.061948407552388576,0.03901737092208861,0.0380154374591471,-0.001001933462941508,0.017416667465872154,0.01925675578176669,0.0018400883158945364
