constant,DFT_GPa,Single_ACE_GPa,Model_B_GPa,DFT_ref_GPa
C11,418.6392710639786,389.5711163555388,448.15695522313786,397.0
C12,115.49678214299013,117.06808097143977,119.95973906532632,141.0
C13,62.50624619344624,134.5791893995766,156.26341046623526,112.0
C33,432.6312601140145,491.0177773312443,418.99371350571124,390.0
C44,109.3791740620825,106.86287307751314,117.23920713048123,122.0
C66,151.57124446049423,136.2515176920495,164.09860807890578,
